0
03
04
05
06
07
08
0k
1
10
100
11
12
120
1200
128g
1300
1300w
14
15
1535048590
16
1600
1600w
163
164
16g
17
18
19
192
1g
1pk5mr4b
1s
2
20
2000
2015
2016
20k
21
22
23
24
2400
2498
25
2500
2598
26
262
2698
27
2d
2g
2g4g
3
30
300
3000
3199
3200
33
35
36
360
360n4s
3698
370
38
3g
3g0k
3s
3xpro
4
40
400
4000ma
4000mah
4100
4100mah
41064
42
4288
45
46
4c
4g
4g0k
4g3g
4gx6d
4k
4wifi
5
50
500
5020
5020mah
50mb
51
51a
5200
550
57
5gwifi
5max
5pro
5s
5v4a
5x
6
60
615
616cpu
625cpu
64
64g
64gb
650
652
652cpu
66m
6950x
6968
6p
6plus
6plusd
6s
7
70
7b352
8
80
800
800w
801
810
820
821cpu
85
8810exynos7420
89
96
97ol
98
99
_
a
a7
adb
arnavi
b
b122
b133
b15014
b191
baidu
bog
build
cf
com
cpu1
cpu808
cpup10
de
e
em06
emui3
emui4
fastboot
fi
flash
functionos2
g
g7
hifi
htc
http
i
ipad
iphone
k
ldquo
log
m
mate7
moonlight
mx4
n
note
note3
o
ok
op7s
oppo
oppor1s
oppor9
otg
otgu
p10
p8
pan
papa
pd1516a
plus
por5
ppt
pro5
pro6
prod
prop
ps
qq
r9
r9plus
rdquo
rebootsystemnow
rec
room
s
s4g
smart
swifi
thankyou
tm
u
uiuox6asim2
usb
v
v3
v3max
v3max100
v3maxv
v5max
v8
viovxplay5a
viv051
viv0x7
vivix6plusd
vivixpiay5
vivo
vivo002
vivohi
vivoprod
vivorev1
vivov3
vivov3m
vivov3ma
vivov3maxa
vivox1st
vivox5
vivox5l
vivox5m
vivox5man
vivox5manvivox5m
vivox5max
vivox5por
vivox5pro
vivox5pro3g
vivox5prod
vivox5prov
vivox5pv
vivox5rd
vivox6
vivox6a
vivox6avivox6a
vivox6d
vivox6l
vivox6p
vivox6piusd
vivox6plus
vivox6plusa
vivox6plusd
vivox6pule
vivox6puls
vivox6s
vivox6sa
vivox6splus
vivox6splusd
vivox7
vivoxplaay5spro
vivoxplau5
vivoxplay5
vivoxplay51
vivoxplay5a
vivoxplay5s
vivoy33
vivoy35
vivoy35sd
vivoy37
vivoy37a
vivoy51
vivoy51vivo
vx6
wifibug
x
x1
x25
x3
x5
x5m
x5m1234
x5mas
x5max
x5maxs
x5p
x5porv
x5prd
x5pro
x5prod
x5prod3g
x5prov
x6
x6a
x6as
x6d
x6d2
x6dhome
x6i
x6l
x6lpus
x6p
x6pius
x6plus
x6plusa
x6puls
x6pulsd
x6s
x6sa
x6spius
x6splus
x6splus128g
x6spuis
x7
x7p
x7plus
x7x7
x7x8
x9
xpaly5
xpiay5
xplay3s
xplay5
xplay5a
xplay5s
y
y22l
y315
y31a
y33
y35
y35a
y37
y37a
y51
y51a
z7max
zuk
...
......
vivorev1117
1156
1103
1112
1156
00
1103
1108
1112
11410
1156
1173
1194
1202
1223
124
127
167
201631
2016320
2016322
2035g
218
219
2191
2205
34
41
43
44
55
551
6164wifi
651
6516
75
82
buildprop
cpu14
cpu15
emui31
emui40
functionos26
panbaiducom
vivorev1117
vivoxplay51186
％
*
/
+
=
!


…
"
“
～
”
s
>
<
《
》
。
？
（ ）
（
）
‘
＋
